portfolio_y_reserves,portfolio_x_reserves,portfolio_prices,exchange_prices,arbitrageur_balance_x,arbitrageur_balance_y,drift,timestep,seed,mean_reversion_speed,mean_price
48.006115306038474,48.006115306038474,1.0,1.0,4809.0,4809.0,0.1,0.01,1,10.0,1.0
48.006115306038474,48.006115306038474,1.0,1.0,4809.0,4809.0,0.1,0.01,1,10.0,1.0
48.006115306038474,48.006115306038474,1.0,1.0166362712988146,4809.0,4809.0,0.1,0.01,1,10.0,1.0
48.006115306038474,48.006115306038474,1.0,1.0223793195755368,4809.0,4809.0,0.1,0.01,1,10.0,1.0
48.006115306038474,48.006115306038474,1.0,1.0188699664397958,4809.0,4809.0,0.1,0.01,1,10.0,1.0
48.006115306038474,48.006115306038474,1.0,1.0108511653833139,4809.0,4809.0,0.1,0.01,1,10.0,1.0
48.00689665994722,48.0053347342492,1.0000019590527918,1.000664764051413,4809.00078057179,4808.99921864609,0.1,0.01,1,10.0,1.0
48.00689665994722,48.0053347342492,1.0000019590527918,1.0197827049169639,4809.00078057179,4808.99921864609,0.1,0.01,1,10.0,1.0
48.00689665994722,48.0053347342492,1.0000019590527918,1.0162721953926106,4809.00078057179,4808.99921864609,0.1,0.01,1,10.0,1.0
48.00689665994722,48.0053347342492,1.0000019590527918,1.0189938105163927,4809.00078057179,4808.99921864609,0.1,0.01,1,10.0,1.0
48.00689665994722,48.0053347342492,1.0000019590527918,1.0176152282430786,4809.00078057179,4808.99921864609,0.1,0.01,1,10.0,1.0
48.00689665994722,48.0053347342492,1.0000019590527918,1.0142204432397028,4809.00078057179,4808.99921864609,0.1,0.01,1,10.0,1.0
48.00689665994722,48.0053347342492,1.0000019590527918,1.0065356244272663,4809.00078057179,4808.99921864609,0.1,0.01,1,10.0,1.0
48.00689665994722,48.0053347342492,1.0000019590527918,0.9983195110800119,4809.00078057179,4808.99921864609,0.1,0.01,1,10.0,1.0
48.00689665994722,48.0053347342492,1.0000019590527918,1.0038621357326651,4809.00078057179,4808.99921864609,0.1,0.01,1,10.0,1.0
48.00689665994722,48.0053347342492,1.0000019590527918,1.0017268852295902,4809.00078057179,4808.99921864609,0.1,0.01,1,10.0,1.0
48.00689665994722,48.0053347342492,1.0000019590527918,0.9836127538535498,4809.00078057179,4808.99921864609,0.1,0.01,1,10.0,1.0
48.00628979923884,48.00594220169678,1.0000004344509505,0.973371156177257,4809.000173104342,4808.9998255067985,0.1,0.01,1,10.0,1.0
48.00628979923884,48.00594220169678,1.0000004344509505,0.9840930924815863,4809.000173104342,4808.9998255067985,0.1,0.01,1,10.0,1.0
48.00628979923884,48.00594220169678,1.0000004344509505,0.9828512959989675,4809.000173104342,4808.9998255067985,0.1,0.01,1,10.0,1.0
48.00628979923884,48.00594220169678,1.0000004344509505,0.994551722394054,4809.000173104342,4808.9998255067985,0.1,0.01,1,10.0,1.0
48.00628979923884,48.00594220169678,1.0000004344509505,0.9869445191856541,4809.000173104342,4808.9998255067985,0.1,0.01,1,10.0,1.0
48.00628979923884,48.00594220169678,1.0000004344509505,0.9947104424218255,4809.000173104342,4808.9998255067985,0.1,0.01,1,10.0,1.0
48.00683712094694,48.005395427924846,1.0000018067256418,0.9823853721943165,4809.000719878113,4808.9992781850915,0.1,0.01,1,10.0,1.0
48.00683712094694,48.005395427924846,1.0000018067256418,1.013861251403033,4809.000719878113,4808.9992781850915,0.1,0.01,1,10.0,1.0
48.00683712094694,48.005395427924846,1.0000018067256418,1.0158128072391737,4809.000719878113,4808.9992781850915,0.1,0.01,1,10.0,1.0
48.00683712094694,48.005395427924846,1.0000018067256418,1.017842080837344,4809.000719878113,4808.9992781850915,0.1,0.01,1,10.0,1.0
48.00683712094694,48.005395427924846,1.0000018067256418,1.0077668063189336,4809.000719878113,4808.9992781850915,0.1,0.01,1,10.0,1.0
48.00683712094694,48.005395427924846,1.0000018067256418,0.9989720651017561,4809.000719878113,4808.9992781850915,0.1,0.01,1,10.0,1.0
48.00643225807183,48.00580069554013,1.0000007895981418,0.9844096038042414,4809.000314610498,4808.999683047966,0.1,0.01,1,10.0,1.0
48.00643225807183,48.00580069554013,1.0000007895981418,0.9890794031644194,4809.000314610498,4808.999683047966,0.1,0.01,1,10.0,1.0
48.00643225807183,48.00580069554013,1.0000007895981418,0.9855668307981508,4809.000314610498,4808.999683047966,0.1,0.01,1,10.0,1.0
48.00643225807183,48.00580069554013,1.0000007895981418,0.9864700149884742,4809.000314610498,4808.999683047966,0.1,0.01,1,10.0,1.0
48.00643225807183,48.00580069554013,1.0000007895981418,0.9783658406414696,4809.000314610498,4808.999683047966,0.1,0.01,1,10.0,1.0
48.00643225807183,48.00580069554013,1.0000007895981418,0.9923918919322647,4809.000314610498,4808.999683047966,0.1,0.01,1,10.0,1.0
48.005532015360075,48.00670183969996,0.999998527941357,0.9854051864759089,4808.9994134663375,4809.000583290678,0.1,0.01,1,10.0,1.0
48.005532015360075,48.00670183969996,0.999998527941357,0.9767600522611346,4808.9994134663375,4809.000583290678,0.1,0.01,1,10.0,1.0
48.005532015360075,48.00670183969996,0.999998527941357,0.9867182169960239,4808.9994134663375,4809.000583290678,0.1,0.01,1,10.0,1.0
48.005532015360075,48.00670183969996,0.999998527941357,0.9746584326365066,4808.9994134663375,4809.000583290678,0.1,0.01,1,10.0,1.0
48.005532015360075,48.00670183969996,0.999998527941357,0.975890824736412,4808.9994134663375,4809.000583290678,0.1,0.01,1,10.0,1.0
